FST info: dumpfile ReLU_tb.vcd opened for output.
+-------------------------------------------------------------------------------+
|  TIME  |                IN                ||                OUT               |
+-------------------------------------------------------------------------------+
+-------------------------------------------------------------------------------+
|                               Test Case n* 1                                  |
+-------------------------------------------------------------------------------+
| 000870 | 01000011000011101011111110000110 || 01000011000011101011111110000110 |
| 000880 | 00110000100101100110011101100001 || 00110000100101100110011101100001 |
| 000890 | 01110010001010111111011011100100 || 01110010001010111111011011100100 |
| 000900 | 00011101110000010010110100111011 || 00011101110000010010110100111011 |
| 000910 | 01001111011110010111011010011110 || 01001111011110010111011010011110 |
| 000920 | 01000100100001100110110110001001 || 01000100100001100110110110001001 |
| 000930 | 00011111100000101000000000111111 || 00011111100000101000000000111111 |
| 000940 | 01011011011100101100000010110110 || 01011011011100101100000010110110 |
| 000950 | 01001110011011001111001110011100 || 01001110011011001111001110011100 |
| 000960 | 01000111111010010100011110001111 || 01000111111010010100011110001111 |
| 000970 | 00110100111101011111101101101001 || 00110100111101011111101101101001 |
| 000980 | 01100001011011001001011111000010 || 01100001011011001001011111000010 |
| 000990 | 00011110000010100100010000111100 || 00011110000010100100010000111100 |
| 001000 | 01010110111011010010110010101101 || 01010110111011010010110010101101 |
| 001010 | 01010010010001011010010110100100 || 01010010010001011010010110100100 |
| 001020 | 00001111111110010101011100011111 || 00001111111110010101011100011111 |
| 001030 | 01001010100001100101011110010101 || 01001010100001100101011110010101 |
| 001040 | 01010110000010101011000110101100 || 01010110000010101011000110101100 |
| 001050 | 00100001100111111001110001000011 || 00100001100111111001110001000011 |
| 001060 | 00100011100011010000011001000111 || 00100011100011010000011001000111 |
| 001070 | 00100111000101111111100101001110 || 00100111000101111111100101001110 |
| 001080 | 01111110100110101100110011111101 || 01111110100110101100110011111101 |
| 001090 | 00001001101111101101111000010011 || 00001001101111101101111000010011 |
| 001100 | 01011100110010110000101110111001 || 01011100110010110000101110111001 |
| 001110 | 00101000110001011101101001010001 || 00101000110001011101101001010001 |
| 001120 | 00001011110011001101010000010111 || 00001011110011001101010000010111 |
| 001130 | 00101100111010010100100101011001 || 00101100111010010100100101011001 |
| 001140 | 00010111111011000010101100101111 || 00010111111011000010101100101111 |
| 001150 | 01010001000101001000011010100010 || 01010001000101001000011010100010 |
| 001160 | 01111101111111000111111011111011 || 01111101111111000111111011111011 |
| 001170 | 00110010110011011001101101100101 || 00110010110011011001101101100101 |
| 001180 | 00111001100001001000110101110011 || 00111001100001001000110101110011 |
| 001190 | 01010110100101000110110110101101 || 01010110100101000110110110101101 |
| 001200 | 01001010011001111110000010010100 || 01001010011001111110000010010100 |
| 001210 | 00111011010000010111000101110110 || 00111011010000010111000101110110 |
| 001220 | 00110110101010011011011001101101 || 00110110101010011011011001101101 |
| 001230 | 00011001010011111101101100110010 || 00011001010011111101101100110010 |
| 001240 | 00101101010001010111000101011010 || 00101101010001010111000101011010 |
| 001250 | 00110111110111110100101001101111 || 00110111110111110100101001101111 |
| 001260 | 01011110011110001000110010111100 || 01011110011110001000110010111100 |
| 001270 | 01010001000110001111111110100010 || 01010001000110001111111110100010 |
| 001280 | 00110100001110100000011001101000 || 00110100001110100000011001101000 |
| 001290 | 01001010100001001000010110010101 || 01001010100001001000010110010101 |
| 001300 | 01101010111110110101011011010101 || 01101010111110110101011011010101 |
| 001310 | 01000011101101111110011110000111 || 01000011101101111110011110000111 |
| 001320 | 01110111001011101101011011101110 || 01110111001011101101011011101110 |
| 001330 | 00100110101011110101111001001101 || 00100110101011110101111001001101 |
| 001340 | 00111111011011111011100101111110 || 00111111011011111011100101111110 |
| 001350 | 00110000111110001000000101100001 || 00110000111110001000000101100001 |
| 001360 | 01010101100001110111011010101011 || 01010101100001110111011010101011 |
| 001370 | 01010011101111001111010010100111 || 01010011101111001111010010100111 |
| 001380 | 00011001111011001011101100110011 || 00011001111011001011101100110011 |
| 001390 | 00000010100110001001101000000101 || 00000010100110001001101000000101 |
| 001400 | 01101101101101111101110011011011 || 01101101101101111101110011011011 |
| 001410 | 00001110000001110100010100011100 || 00001110000001110100010100011100 |
| 001420 | 01011110011010001100001110111100 || 01011110011010001100001110111100 |
| 001430 | 00101110000101011110001001011100 || 00101110000101011110001001011100 |
| 001440 | 01100101001110100101111111001010 || 01100101001110100101111111001010 |
