FST info: dumpfile ReLU_tb.vcd opened for output.
+-------------------------------------------------------------------------------+
|  TIME  |                IN                ||                OUT               |
+-------------------------------------------------------------------------------+
+-------------------------------------------------------------------------------+
|                               Test Case n* 1                                  |
+-------------------------------------------------------------------------------+
| 003850 | 01011010100101101011000010110101 || 01011010100101101011000010110101 |
| 003860 | 01100001001111011010101111000010 || 01100001001111011010101111000010 |
| 003870 | 00101010101011011101111001010101 || 00101010101011011101111001010101 |
| 003880 | 01011111001101111000011110111110 || 01011111001101111000011110111110 |
| 003890 | 00011000001010010000000100110000 || 00011000001010010000000100110000 |
| 003900 | 01101110101001010010011011011101 || 01101110101001010010011011011101 |
| 003910 | 00100010110100001011000001000101 || 00100010110100001011000001000101 |
| 003920 | 00101001100011101111111101010011 || 00101001100011101111111101010011 |
| 003930 | 00001001010000011000111100010010 || 00001001010000011000111100010010 |
| 003940 | 01001100100000101100000110011001 || 01001100100000101100000110011001 |
| 003950 | 00101000100000101000001001010001 || 00101000100000101000001001010001 |
| 003960 | 00010010010001111011111000100100 || 00010010010001111011111000100100 |
| 003970 | 00000101001100100101100000001010 || 00000101001100100101100000001010 |
| 003980 | 00001111011001001110000000011110 || 00001111011001001110000000011110 |
| 003990 | 01010010111110010000000110100101 || 01010010111110010000000110100101 |
| 004000 | 00010111001101000001100000101110 || 00010111001101000001100000101110 |
| 004010 | 01010001110010000011101010100011 || 01010001110010000011101010100011 |
| 004020 | 01100001100111110100101111000011 || 01100001100111110100101111000011 |
| 004030 | 00001110010101111011110100011100 || 00001110010101111011110100011100 |
| 004040 | 00101101000000101100010101011010 || 00101101000000101100010101011010 |
| 004050 | 01110100001010001111001011101000 || 01110100001010001111001011101000 |
| 004060 | 00001011000100010010100000010110 || 00001011000100010010100000010110 |
| 004070 | 01100011001111100010001011000110 || 01100011001111100010001011000110 |
| 004080 | 01000001111101001101101110000011 || 01000001111101001101101110000011 |
| 004090 | 00011010100100010010000000110101 || 00011010100100010010000000110101 |
| 004100 | 01000100010010101111110010001000 || 01000100010010101111110010001000 |
| 004110 | 01111010001101010111111111110100 || 01111010001101010111111111110100 |
| 004120 | 00010010111100111100111100100101 || 00010010111100111100111100100101 |
| 004130 | 01011100111100100100000010111001 || 01011100111100100100000010111001 |
| 004140 | 01111011000101001010110111110110 || 01111011000101001010110111110110 |
| 004150 | 01001000111111110000001010010001 || 01001000111111110000001010010001 |
| 004160 | 01101001000001110111011111010010 || 01101001000001110111011111010010 |
| 004170 | 01110010011100001011001011100100 || 01110010011100001011001011100100 |
| 004180 | 00001110010100111000001000011100 || 00001110010100111000001000011100 |
| 004190 | 00110111110000011011100101101111 || 00110111110000011011100101101111 |
| 004200 | 00110101001011000000101001101010 || 00110101001011000000101001101010 |
| 004210 | 01011001110000011011001010110011 || 01011001110000011011001010110011 |
| 004220 | 01100111010100000010000011001110 || 01100111010100000010000011001110 |
| 004230 | 01101100000110001001001011011000 || 01101100000110001001001011011000 |
| 004240 | 01100000100010000001110011000001 || 01100000100010000001110011000001 |
| 004250 | 01010010011010010101111110100100 || 01010010011010010101111110100100 |
| 004260 | 00110110010111001000110101101100 || 00110110010111001000110101101100 |
| 004270 | 01001000000000000101101110010000 || 01001000000000000101101110010000 |
| 004280 | 00000111000000101010011000001110 || 00000111000000101010011000001110 |
| 004290 | 01100100110110001011011111001001 || 01100100110110001011011111001001 |
| 004300 | 01111000110110100011000011110001 || 01111000110110100011000011110001 |
| 004310 | 00001010101001011100000100010101 || 00001010101001011100000100010101 |
| 004320 | 00110010001110001111110001100100 || 00110010001110001111110001100100 |
| 004330 | 00010111011010111001011100101110 || 00010111011010111001011100101110 |
| 004340 | 01001110100111111100111010011101 || 01001110100111111100111010011101 |
| 004350 | 01100001000100110101010011000010 || 01100001000100110101010011000010 |
| 004360 | 00001010110101001101010000010101 || 00001010110101001101010000010101 |
| 004370 | 01001110010001101011111110011100 || 01001110010001101011111110011100 |
| 004380 | 00000100101111111000111000001001 || 00000100101111111000111000001001 |
| 004390 | 00010100101111111000000000101001 || 00010100101111111000000000101001 |
| 004400 | 01010110010000100100010010101100 || 01010110010000100100010010101100 |
| 004410 | 00110100000101011100101101101000 || 00110100000101011100101101101000 |
| 004420 | 00011011101011001111010100110111 || 00011011101011001111010100110111 |
| 004430 | 01100101111110101001010011001011 || 01100101111110101001010011001011 |
| 004440 | 01110110110001011100001111101101 || 01110110110001011100001111101101 |
| 004450 | 01101001101010010011101111010011 || 01101001101010010011101111010011 |
| 004460 | 01101110110000101110100111011101 || 01101110110000101110100111011101 |
| 004470 | 00000000001111001011111000000000 || 00000000001111001011111000000000 |
| 004480 | 00000011111100100010011000000111 || 00000011111100100010011000000111 |
| 004490 | 00011010011101000110101100110100 || 00011010011101000110101100110100 |
| 004500 | 00000011001010011011000100000110 || 00000011001010011011000100000110 |
| 004510 | 01010110010101000000110010101100 || 01010110010101000000110010101100 |
| 004520 | 01110001011111101010010011100010 || 01110001011111101010010011100010 |
| 004530 | 01110011111010111001101011100111 || 01110011111010111001101011100111 |
| 004540 | 01100100000111001111001011001000 || 01100100000111001111001011001000 |
| 004550 | 00010100011100100110110000101000 || 00010100011100100110110000101000 |
| 004560 | 00011010011111001101001000110100 || 00011010011111001101001000110100 |
| 004570 | 01011101110000011110011010111011 || 01011101110000011110011010111011 |
| 004580 | 01010010100100011011001010100101 || 01010010100100011011001010100101 |
| 004590 | 00110110000110111010110001101100 || 00110110000110111010110001101100 |
| 004600 | 01100110111011101010011011001101 || 01100110111011101010011011001101 |
| 004610 | 00110001000001110100110101100010 || 00110001000001110100110101100010 |
| 004620 | 01101110001111000101100011011100 || 01101110001111000101100011011100 |
| 004630 | 00101101111100110111100101011011 || 00101101111100110111100101011011 |
| 004640 | 00100001101111000111011101000011 || 00100001101111000111011101000011 |
| 004650 | 00001100001001101010110100011000 || 00001100001001101010110100011000 |
| 004660 | 01011101111101101010100110111011 || 01011101111101101010100110111011 |
| 004670 | 01101101011010110110001111011010 || 01101101011010110110001111011010 |
| 004680 | 01110101000010101111101011101010 || 01110101000010101111101011101010 |
| 004690 | 01000001110000111100001110000011 || 01000001110000111100001110000011 |
| 004700 | 01011101100001011100101110111011 || 01011101100001011100101110111011 |
| 004710 | 01111010010100001101011011110100 || 01111010010100001101011011110100 |
| 004720 | 01100010111100010100010111000101 || 01100010111100010100010111000101 |
| 004730 | 01000000011110010010111110000000 || 01000000011110010010111110000000 |
| 004740 | 01110110110000000100010111101101 || 01110110110000000100010111101101 |
| 004750 | 00100000001110110010000101000000 || 00100000001110110010000101000000 |
| 004760 | 01110000100011101100111111100001 || 01110000100011101100111111100001 |
| 004770 | 00110001011101100110110101100010 || 00110001011101100110110101100010 |
| 004780 | 00001100000100111111110100011000 || 00001100000100111111110100011000 |
| 004790 | 00101011110110010111001001010111 || 00101011110110010111001001010111 |
| 004800 | 00011001100000010110110100110011 || 00011001100000010110110100110011 |
| 004810 | 01101011111111011101110011010111 || 01101011111111011101110011010111 |
| 004820 | 00111010011011000011011101110100 || 00111010011011000011011101110100 |
| 004830 | 01111110001000001101011111111100 || 01111110001000001101011111111100 |
| 004840 | 00000001101110110101011000000011 || 00000001101110110101011000000011 |
| 004850 | 00111011110000101011101101110111 || 00111011110000101011101101110111 |
| 004860 | 01111000011101111001101111110000 || 01111000011101111001101111110000 |
| 004870 | 00100101010110100011111001001010 || 00100101010110100011111001001010 |
| 004880 | 00111011101110010001111101110111 || 00111011101110010001111101110111 |
| 004890 | 01011000001001110010011010110000 || 01011000001001110010011010110000 |
| 004900 | 00111001010011100010111101110010 || 00111001010011100010111101110010 |
| 004910 | 00001010000100000111010100010100 || 00001010000100000111010100010100 |
| 004920 | 01011001000101111011111010110010 || 01011001000101111011111010110010 |
| 004930 | 01001010010110100001101110010100 || 01001010010110100001101110010100 |
| 004940 | 00111000011101110101011101110000 || 00111000011101110101011101110000 |
| 004950 | 00011101110111100010100100111011 || 00011101110111100010100100111011 |
| 004960 | 01011011100010101000101010110111 || 01011011100010101000101010110111 |
| 004970 | 01100000010101010111101011000000 || 01100000010101010111101011000000 |
| 004980 | 01110101010011111101110011101010 || 01110101010011111101110011101010 |
| 004990 | 01011010000110111110101010110100 || 01011010000110111110101010110100 |
| 005000 | 01111100001100010011100011111000 || 01111100001100010011100011111000 |
| 005010 | 00101010101111000000000001010101 || 00101010101111000000000001010101 |
| 005020 | 01000011110011111110000110000111 || 01000011110011111110000110000111 |
| 005030 | 00111100011011100010010001111000 || 00111100011011100010010001111000 |
| 005040 | 00011111010011011101111000111110 || 00011111010011011101111000111110 |
| 005050 | 01100011100101110100101011000111 || 01100011100101110100101011000111 |
| 005060 | 00111000101100001110111001110001 || 00111000101100001110111001110001 |
| 005070 | 01001111001100110010011010011110 || 01001111001100110010011010011110 |
| 005080 | 00101010010110101111001101010100 || 00101010010110101111001101010100 |
| 005090 | 01111011111101011101100011110111 || 01111011111101011101100011110111 |
| 005100 | 00010110111100111110100000101101 || 00010110111100111110100000101101 |
| 005110 | 00101011110100010001111001010111 || 00101011110100010001111001010111 |
| 005120 | 01010010100000010100110110100101 || 01010010100000010100110110100101 |
| 005130 | 01101110011010010000011011011100 || 01101110011010010000011011011100 |
| 005140 | 01000100110001110001011010001001 || 01000100110001110001011010001001 |
| 005150 | 01000100111001000001101010001001 || 01000100111001000001101010001001 |
| 005160 | 01011001011011100010000010110010 || 01011001011011100010000010110010 |
| 005170 | 01010100011000110001001110101000 || 01010100011000110001001110101000 |
| 005180 | 00101101110011000001110101011011 || 00101101110011000001110101011011 |
| 005190 | 00100110010011000000100001001100 || 00100110010011000000100001001100 |
| 005200 | 00001110100010010000010000011101 || 00001110100010010000010000011101 |
| 005210 | 00011100011101010001110100111000 || 00011100011101010001110100111000 |
| 005220 | 01011000101111100000001110110001 || 01011000101111100000001110110001 |
| 005230 | 00111001000110101011010101110010 || 00111001000110101011010101110010 |
| 005240 | 01001010100010011110111010010101 || 01001010100010011110111010010101 |
| 005250 | 00011111011011010010001000111110 || 00011111011011010010001000111110 |
| 005260 | 01010110011101110010111110101100 || 01010110011101110010111110101100 |
| 005270 | 01111001011000011101000111110010 || 01111001011000011101000111110010 |
| 005280 | 01111011011011110011010111110110 || 01111011011011110011010111110110 |
| 005290 | 00110010010101000000000001100100 || 00110010010101000000000001100100 |
| 005300 | 00010000010101110110011000100000 || 00010000010101110110011000100000 |
| 005310 | 01101011111000001110100011010111 || 01101011111000001110100011010111 |
| 005320 | 00110110110100111000111001101101 || 00110110110100111000111001101101 |
| 005330 | 00110011010010110111010001100110 || 00110011010010110111010001100110 |
| 005340 | 01011100000010011100111110111000 || 01011100000010011100111110111000 |
| 005350 | 00000001100100110110101000000011 || 00000001100100110110101000000011 |
| 005360 | 00101000101001000001000001010001 || 00101000101001000001000001010001 |
| 005370 | 01101111010011000001111011011110 || 01101111010011000001111011011110 |
| 005380 | 00011010101010101110111100110101 || 00011010101010101110111100110101 |
| 005390 | 01110111000111101010001111101110 || 01110111000111101010001111101110 |
| 005400 | 00010100001101100010111100101000 || 00010100001101100010111100101000 |
| 005410 | 00011110110000110111101000111101 || 00011110110000110111101000111101 |
| 005420 | 00001001010011101010110000010010 || 00001001010011101010110000010010 |
| 005430 | 00011110000111111100001000111100 || 00011110000111111100001000111100 |
| 005440 | 01111101101111011100010011111011 || 01111101101111011100010011111011 |
| 005450 | 00010111000100011110011100101110 || 00010111000100011110011100101110 |
| 005460 | 01001000111001100100110110010001 || 01001000111001100100110110010001 |
| 005470 | 01011110010110011101010110111100 || 01011110010110011101010110111100 |
| 005480 | 01110010001000110000001011100100 || 01110010001000110000001011100100 |
| 005490 | 00101110111010001010001101011101 || 00101110111010001010001101011101 |
| 005500 | 00000011100001100111011100000111 || 00000011100001100111011100000111 |
| 005510 | 00011100110000111100101000111001 || 00011100110000111100101000111001 |
| 005520 | 01000011001110001000000110000110 || 01000011001110001000000110000110 |
| 005530 | 00110011100001111100110001100111 || 00110011100001111100110001100111 |
| 005540 | 01110101000011010011000011101010 || 01110101000011010011000011101010 |
| 005550 | 00010110011101100110111000101100 || 00010110011101100110111000101100 |
| 005560 | 01101110010100010011011111011100 || 01101110010100010011011111011100 |
| 005570 | 00101100110111000110000001011001 || 00101100110111000110000001011001 |
| 005580 | 01111101001001111101111111111010 || 01111101001001111101111111111010 |
| 005590 | 00011101011110100111000100111010 || 00011101011110100111000100111010 |
| 005600 | 01000011001101100111100010000110 || 01000011001101100111100010000110 |
| 005610 | 00001110011111100011110100011100 || 00001110011111100011110100011100 |
| 005620 | 01000000101110010100100110000001 || 01000000101110010100100110000001 |
| 005630 | 00000101011101100101111100001010 || 00000101011101100101111100001010 |
| 005640 | 01000001011111011111110010000010 || 01000001011111011111110010000010 |
| 005650 | 01010011100011100010000110100111 || 01010011100011100010000110100111 |
| 005660 | 01000000100111111001010010000001 || 01000000100111111001010010000001 |
| 005670 | 01101110001111001010100011011100 || 01101110001111001010100011011100 |
| 005680 | 00000010001111111101100100000100 || 00000010001111111101100100000100 |
| 005690 | 01100011011100111010100111000110 || 01100011011100111010100111000110 |
| 005700 | 00101011110110100100011101010111 || 00101011110110100100011101010111 |
| 005710 | 01111010001110011001100011110100 || 01111010001110011001100011110100 |
| 005720 | 01100100001011001000010011001000 || 01100100001011001000010011001000 |
| 005730 | 01111101011110110101010111111010 || 01111101011110110101010111111010 |
| 005740 | 00010011000100000100100000100110 || 00010011000100000100100000100110 |
| 005750 | 01011110110000010101111010111101 || 01011110110000010101111010111101 |
| 005760 | 00010000000000101101001100100000 || 00010000000000101101001100100000 |
| 005770 | 01001001010101001000000110010010 || 01001001010101001000000110010010 |
| 005780 | 00000011011101011101101100000110 || 00000011011101011101101100000110 |
| 005790 | 00011100001111100000100000111000 || 00011100001111100000100000111000 |
| 005800 | 01001011011001011111110010010110 || 01001011011001011111110010010110 |
| 005810 | 00001010011011110110110000010100 || 00001010011011110110110000010100 |
| 005820 | 01101111000100101010100011011110 || 01101111000100101010100011011110 |
| 005830 | 00001100001111011000010000011000 || 00001100001111011000010000011000 |
| 005840 | 01110000000100111001011011100000 || 01110000000100111001011011100000 |
| 005850 | 01010100001110110011010010101000 || 01010100001110110011010010101000 |
| 005860 | 00101000011001111011010101010000 || 00101000011001111011010101010000 |
| 005870 | 01010011010111111001111110100110 || 01010011010111111001111110100110 |
| 005880 | 00111101011110011001011101111010 || 00111101011110011001011101111010 |
| 005890 | 01111101010000111101011111111010 || 01111101010000111101011111111010 |
| 005900 | 00010111011101010110011000101110 || 00010111011101010110011000101110 |
| 005910 | 00100101001001000000100101001010 || 00100101001001000000100101001010 |
| 005920 | 00011010101011000101001100110101 || 00011010101011000101001100110101 |
| 005930 | 01101111001100000011001011011110 || 01101111001100000011001011011110 |
| 005940 | 00101110001000011000010001011100 || 00101110001000011000010001011100 |
| 005950 | 00100111100110000100111001001111 || 00100111100110000100111001001111 |
| 005960 | 00111110101111001000001101111101 || 00111110101111001000001101111101 |
| 005970 | 01010001101000000000010110100011 || 01010001101000000000010110100011 |
| 005980 | 00000001111111010011001000000011 || 00000001111111010011001000000011 |
| 005990 | 00100100111001011101111001001001 || 00100100111001011101111001001001 |
| 006000 | 00010101011011010011101000101010 || 00010101011011010011101000101010 |
| 006010 | 01101101111010011110110111011011 || 01101101111010011110110111011011 |
| 006020 | 01010001011010101111100010100010 || 01010001011010101111100010100010 |
| 006030 | 00011000110000000000010100110001 || 00011000110000000000010100110001 |
| 006040 | 00010110010010011111000000101100 || 00010110010010011111000000101100 |
| 006050 | 00001001101110010110011100010011 || 00001001101110010110011100010011 |
| 006060 | 00011010001001001011101100110100 || 00011010001001001011101100110100 |
| 006070 | 00000111101100011111001000001111 || 00000111101100011111001000001111 |
| 006080 | 00100100000111000111101001001000 || 00100100000111000111101001001000 |
| 006090 | 01010110100011001101001010101101 || 01010110100011001101001010101101 |
| 006100 | 01000111001000011100001010001110 || 01000111001000011100001010001110 |
| 006110 | 01101110010011001011001111011100 || 01101110010011001011001111011100 |
| 006120 | 01101010110000110000111111010101 || 01101010110000110000111111010101 |
| 006130 | 01110100000100110110110011101000 || 01110100000100110110110011101000 |
| 006140 | 01011011110111001011001010110111 || 01011011110111001011001010110111 |
| 006150 | 01110110001101010011011011101100 || 01110110001101010011011011101100 |
| 006160 | 00010001011001100100010000100010 || 00010001011001100100010000100010 |
| 006170 | 01100011011010110101001111000110 || 01100011011010110101001111000110 |
| 006180 | 01100010111110011001000111000101 || 01100010111110011001000111000101 |
| 006190 | 01111111000100100100100011111110 || 01111111000100100100100011111110 |
| 006200 | 01110111000011110000111111101110 || 01110111000011110000111111101110 |
| 006210 | 00101001001111111000010101010010 || 00101001001111111000010101010010 |
| 006220 | 01000110010010111100011010001100 || 01000110010010111100011010001100 |
| 006230 | 01101001010110101001100111010010 || 01101001010110101001100111010010 |
| 006240 | 00001111100111001100011100011111 || 00001111100111001100011100011111 |
| 006250 | 00111100110001011110000001111001 || 00111100110001011110000001111001 |
| 006260 | 00010110001111000001011000101100 || 00010110001111000001011000101100 |
| 006270 | 01110001000000101011010111100010 || 01110001000000101011010111100010 |
| 006280 | 01010111000110110010000110101110 || 01010111000110110010000110101110 |
| 006290 | 01000001100111010010001010000011 || 01000001100111010010001010000011 |
| 006300 | 00100110100011101010100001001101 || 00100110100011101010100001001101 |
| 006310 | 01000110000010110000110010001100 || 01000110000010110000110010001100 |
| 006320 | 00110001011110000011001101100010 || 00110001011110000011001101100010 |
| 006330 | 01101010100010101110100011010101 || 01101010100010101110100011010101 |
| 006340 | 01000110100010010000000110001101 || 01000110100010010000000110001101 |
| 006350 | 01110000111011011110101011100001 || 01110000111011011110101011100001 |
| 006360 | 01101100100110100111010011011001 || 01101100100110100111010011011001 |
| 006370 | 01000011000110011011000110000110 || 01000011000110011011000110000110 |
| 006380 | 00111010011110000000011101110100 || 00111010011110000000011101110100 |
| 006390 | 01110000111011010111111011100001 || 01110000111011010111111011100001 |
| 006400 | 01111010110101101011100111110101 || 01111010110101101011100111110101 |
| 006410 | 01111110000101101101110011111100 || 01111110000101101101110011111100 |
| 006420 | 01111100100101100000000111111001 || 01111100100101100000000111111001 |
| 006430 | 01100010010000011101011011000100 || 01100010010000011101011011000100 |
| 006440 | 01011011110001100011100110110111 || 01011011110001100011100110110111 |
| 006450 | 01000110111100001010010110001101 || 01000110111100001010010110001101 |
| 006460 | 00101011010100001001010001010110 || 00101011010100001001010001010110 |
| 006470 | 01011010001001101110000010110100 || 01011010001001101110000010110100 |
| 006480 | 00001001011111001000100100010010 || 00001001011111001000100100010010 |
| 006490 | 01110011111101000010101111100111 || 01110011111101000010101111100111 |
| 006500 | 01101010111011101100011011010101 || 01101010111011101100011011010101 |
| 006510 | 00000110110010100110100100001101 || 00000110110010100110100100001101 |
| 006520 | 00100000000111011001111101000000 || 00100000000111011001111101000000 |
| 006530 | 01010111011010110110110010101110 || 01010111011010110110110010101110 |
| 006540 | 01100000100101101111111011000001 || 01100000100101101111111011000001 |
| 006550 | 00000001000110100010000100000010 || 00000001000110100010000100000010 |
| 006560 | 01010101110100111101001010101011 || 01010101110100111101001010101011 |
| 006570 | 01001101100110110100010110011011 || 01001101100110110100010110011011 |
| 006580 | 01001100101101010000000110011001 || 01001100101101010000000110011001 |
| 006590 | 00011110011100011001010000111100 || 00011110011100011001010000111100 |
| 006600 | 00111001001001011101011101110010 || 00111001001001011101011101110010 |
| 006610 | 00000101101000010111011000001011 || 00000101101000010111011000001011 |
| 006620 | 00101010101111111111011001010101 || 00101010101111111111011001010101 |
| 006630 | 01110000001010000011001011100000 || 01110000001010000011001011100000 |
| 006640 | 00001011101011001100010000010111 || 00001011101011001100010000010111 |
| 006650 | 01100011001100101001101111000110 || 01100011001100101001101111000110 |
| 006660 | 00011100011000000110000100111000 || 00011100011000000110000100111000 |
| 006670 | 01111110111111110100011111111101 || 01111110111111110100011111111101 |
| 006680 | 01101111001010100001000011011110 || 01101111001010100001000011011110 |
| 006690 | 00110111001110000011010001101110 || 00110111001110000011010001101110 |
| 006700 | 01000101111101100010101110001011 || 01000101111101100010101110001011 |
| 006710 | 00110000011100000000001001100000 || 00110000011100000000001001100000 |
| 006720 | 01111010111111011001000011110101 || 01111010111111011001000011110101 |
| 006730 | 01101101010011101001110111011010 || 01101101010011101001110111011010 |
| 006740 | 00100010011111101001011101000100 || 00100010011111101001011101000100 |
| 006750 | 00100011110110010111000101000111 || 00100011110110010111000101000111 |
| 006760 | 00101111111110110111101101011111 || 00101111111110110111101101011111 |
| 006770 | 00101100001000110001010101011000 || 00101100001000110001010101011000 |
| 006780 | 00110100110110100100110101101001 || 00110100110110100100110101101001 |
| 006790 | 00110101100011101000000101101011 || 00110101100011101000000101101011 |
| 006800 | 00100000101000100110011001000001 || 00100000101000100110011001000001 |
| 006810 | 01000110101100011011101010001101 || 01000110101100011011101010001101 |
| 006820 | 01011100011100110101001110111000 || 01011100011100110101001110111000 |
| 006830 | 00110101110001000000001001101011 || 00110101110001000000001001101011 |
| 006840 | 00000011101100010100011100000111 || 00000011101100010100011100000111 |
| 006850 | 00111100011000111000101001111000 || 00111100011000111000101001111000 |
| 006860 | 01110011010000110000111011100110 || 01110011010000110000111011100110 |
| 006870 | 01000001010111101010000110000010 || 01000001010111101010000110000010 |
| 006880 | 01000111000111010111010110001110 || 01000111000111010111010110001110 |
| 006890 | 01100110000011000110001111001100 || 01100110000011000110001111001100 |
| 006900 | 00111011001110000100010001110110 || 00111011001110000100010001110110 |
| 006910 | 00001010101000001110101100010101 || 00001010101000001110101100010101 |
| 006920 | 00011001011010001010010100110010 || 00011001011010001010010100110010 |
| 006930 | 01001101110010010000001010011011 || 01001101110010010000001010011011 |
| 006940 | 00000000111111010001101100000001 || 00000000111111010001101100000001 |
| 006950 | 00111111101110010100111101111111 || 00111111101110010100111101111111 |
| 006960 | 00111111010101101110111001111110 || 00111111010101101110111001111110 |
| 006970 | 00001111101111010000011100011111 || 00001111101111010000011100011111 |
| 006980 | 00111010000111010001101001110100 || 00111010000111010001101001110100 |
| 006990 | 00011101001100000001110000111010 || 00011101001100000001110000111010 |
| 007000 | 01101100000001001100010011011000 || 01101100000001001100010011011000 |
| 007010 | 00000001101100001110111000000011 || 00000001101100001110111000000011 |
| 007020 | 01000100100010110010011010001001 || 01000100100010110010011010001001 |
| 007030 | 00011010001101010111111000110100 || 00011010001101010111111000110100 |
| 007040 | 00110001010111010000000001100010 || 00110001010111010000000001100010 |
| 007050 | 00111111100100000001011101111111 || 00111111100100000001011101111111 |
| 007060 | 01001101100001111000011010011011 || 01001101100001111000011010011011 |
| 007070 | 01111100110011111000010011111001 || 01111100110011111000010011111001 |
| 007080 | 01111110111011101101010111111101 || 01111110111011101101010111111101 |
| 007090 | 00011010110001101011111000110101 || 00011010110001101011111000110101 |
| 007100 | 01000101111001011101111110001011 || 01000101111001011101111110001011 |
| 007110 | 00000011111010000001101100000111 || 00000011111010000001101100000111 |
| 007120 | 00000101001000111101101100001010 || 00000101001000111101101100001010 |
| 007130 | 01001010100000000000001010010101 || 01001010100000000000001010010101 |
| 007140 | 00101001101100110011011101010011 || 00101001101100110011011101010011 |
| 007150 | 00110101001110110001001101101010 || 00110101001110110001001101101010 |
| 007160 | 00110010110101100000100001100101 || 00110010110101100000100001100101 |
| 007170 | 00011010110000111110000100110101 || 00011010110000111110000100110101 |
| 007180 | 01000001001110111111010110000010 || 01000001001110111111010110000010 |
| 007190 | 00111101001001000001100101111010 || 00111101001001000001100101111010 |
| 007200 | 01100011010001011011000011000110 || 01100011010001011011000011000110 |
| 007210 | 00111000011101010011100001110000 || 00111000011101010011100001110000 |
| 007220 | 01100001011100011101111011000010 || 01100001011100011101111011000010 |
| 007230 | 00101110010011001011101001011100 || 00101110010011001011101001011100 |
| 007240 | 00110010011011111000101101100100 || 00110010011011111000101101100100 |
| 007250 | 00011000001011111100011100110000 || 00011000001011111100011100110000 |
| 007260 | 00010001101100100001100100100011 || 00010001101100100001100100100011 |
| 007270 | 01001111001110100110010110011110 || 01001111001110100110010110011110 |
| 007280 | 01001101110000101010111110011011 || 01001101110000101010111110011011 |
| 007290 | 01010110000001100010101010101100 || 01010110000001100010101010101100 |
| 007300 | 01011100111010110010101110111001 || 01011100111010110010101110111001 |
| 007310 | 00000011101111000110100100000111 || 00000011101111000110100100000111 |
| 007320 | 01110111001101101001000111101110 || 01110111001101101001000111101110 |
| 007330 | 01001100000111111110000110011000 || 01001100000111111110000110011000 |
| 007340 | 01110100001000101111101011101000 || 01110100001000101111101011101000 |
| 007350 | 01000000001110011111001010000000 || 01000000001110011111001010000000 |
| 007360 | 01010000110000010000011110100001 || 01010000110000010000011110100001 |
| 007370 | 01111110001101110100100011111100 || 01111110001101110100100011111100 |
| 007380 | 00101000010111001100110101010000 || 00101000010111001100110101010000 |
| 007390 | 01010100111000000000111110101001 || 01010100111000000000111110101001 |
| 007400 | 01100110001011000100011111001100 || 01100110001011000100011111001100 |
| 007410 | 01010111111101111001111010101111 || 01010111111101111001111010101111 |
| 007420 | 00100001110111110100100101000011 || 00100001110111110100100101000011 |
| 007430 | 00111110101011111010110101111101 || 00111110101011111010110101111101 |
| 007440 | 01001011010011001110100010010110 || 01001011010011001110100010010110 |
| 007450 | 00011100001110110000000100111000 || 00011100001110110000000100111000 |
| 007460 | 00011010110110100111010000110101 || 00011010110110100111010000110101 |
| 007470 | 00001100011010111001110000011000 || 00001100011010111001110000011000 |
| 007480 | 00000100100101111110000000001001 || 00000100100101111110000000001001 |
| 007490 | 01000011001010000110111110000110 || 01000011001010000110111110000110 |
| 007500 | 01000011011011011011010110000110 || 01000011011011011011010110000110 |
| 007510 | 01000101011001101000100110001010 || 01000101011001101000100110001010 |
| 007520 | 01010000000110001000001110100000 || 01010000000110001000001110100000 |
| 007530 | 01100101001100011100011011001010 || 01100101001100011100011011001010 |
| 007540 | 01010101000011011101000110101010 || 01010101000011011101000110101010 |
| 007550 | 00100000001100010000000101000000 || 00100000001100010000000101000000 |
| 007560 | 01000100110001101000101010001001 || 01000100110001101000101010001001 |
| 007570 | 00110000111100011100001101100001 || 00110000111100011100001101100001 |
| 007580 | 00111011010010101110111101110110 || 00111011010010101110111101110110 |
| 007590 | 00110111001001110111001101101110 || 00110111001001110111001101101110 |
| 007600 | 00011110001111000000100000111100 || 00011110001111000000100000111100 |
| 007610 | 01001001111010100000011010010011 || 01001001111010100000011010010011 |
| 007620 | 00010111111101101001001100101111 || 00010111111101101001001100101111 |
| 007630 | 01001000111000000010110110010001 || 01001000111000000010110110010001 |
| 007640 | 01101010110010110111010111010101 || 01101010110010110111010111010101 |
| 007650 | 01001110001000010000101110011100 || 01001110001000010000101110011100 |
| 007660 | 01001000101010011010011010010001 || 01001000101010011010011010010001 |
| 007670 | 01110010011110010101111011100100 || 01110010011110010101111011100100 |
| 007680 | 00110001111101011010011001100011 || 00110001111101011010011001100011 |
| 007690 | 00100000101000000011000101000001 || 00100000101000000011000101000001 |
| 007700 | 01110011101010100110101111100111 || 01110011101010100110101111100111 |
| 007710 | 00110001110001110001000101100011 || 00110001110001110001000101100011 |
| 007720 | 00001001001111111101001000010010 || 00001001001111111101001000010010 |
| 007730 | 01110110110100011011011111101101 || 01110110110100011011011111101101 |
| 007740 | 00000010001100101000101000000100 || 00000010001100101000101000000100 |
| 007750 | 01011101011000010011011110111010 || 01011101011000010011011110111010 |
| 007760 | 01101101011010011000111011011010 || 01101101011010011000111011011010 |
| 007770 | 00000110101111101011100100001101 || 00000110101111101011100100001101 |
| 007780 | 01001110000101010000100110011100 || 01001110000101010000100110011100 |
| 007790 | 00100000100100011001110101000001 || 00100000100100011001110101000001 |
| 007800 | 00010110000000101101000000101100 || 00010110000000101101000000101100 |
